activity_id,activity_name,week,region,channel,strategy_type,customer_segment,lifecycle_stage,reach,conversion,revenue,cost,subsidy_cost,complaint_count,satisfaction,risk_level,roi,conversion_rate,complaint_rate,cac,arpu,net_profit,region_code,channel_code,strategy_code,segment_code,data_source,update_time
A001,W1-西北-App Push-权益升级-01,W1,西北,App Push,权益升级,退休教师,新客,37189,1558,52295.67,29751.2,4462.68,130,3.9,低,1.5285,0.0419,0.0035,21.96,33.57,18081.79,6,2,12,11,simulated_telecom_marketing,2026-05-31
A002,W3-华中-App Push-用户投诉安抚策略-02,W3,华中,App Push,用户投诉安抚策略,大学生,新客,36169,4696,228398.96,28935.2,4340.28,146,4.08,低,6.8639,0.1298,0.004,7.09,48.64,195123.48,4,2,8,1,simulated_telecom_marketing,2026-05-31
A003,W1-华中-Outbound Call-维系-03,W1,华中,Outbound Call,维系,母婴家庭,新客,33134,1054,36583.81,115969.0,34790.7,779,3.31,高,0.2427,0.0318,0.0235,143.04,34.71,-114175.89,4,3,4,16,simulated_telecom_marketing,2026-05-31
A004,W3-华南-Outbound Call-定向促活-04,W3,华南,Outbound Call,定向促活,大学生,新客,6089,250,6604.56,21311.5,6393.45,144,3.37,高,0.2384,0.0411,0.0236,110.82,26.42,-21100.39,3,3,15,1,simulated_telecom_marketing,2026-05-31
A005,W2-华南-App Push-续约-05,W2,华南,App Push,续约,宝妈群体,风险期,20478,761,24813.82,16382.4,2457.36,77,4.23,低,1.3171,0.0372,0.0038,24.76,32.61,5974.06,3,2,2,5,simulated_telecom_marketing,2026-05-31
A006,W2-华北-App Push-拉新-06,W2,华北,App Push,拉新,宝妈群体,风险期,35200,1537,49586.27,28160.0,4224.0,143,4.41,低,1.5312,0.0437,0.0041,21.07,32.26,17202.27,1,2,1,5,simulated_telecom_marketing,2026-05-31
A007,W2-华中-Outbound Call-定向促活-07,W2,华中,Outbound Call,定向促活,游戏玩家,流失风险,22129,688,22150.39,77451.5,23235.45,476,2.97,高,0.22,0.0311,0.0215,146.35,32.2,-78536.56,4,3,15,6,simulated_telecom_marketing,2026-05-31
A008,W3-华中-App Push-用户投诉安抚策略-08,W3,华中,App Push,用户投诉安抚策略,自驾车主,流失风险,23653,3472,136797.62,18922.4,2838.36,81,4.01,低,6.2864,0.1468,0.0034,6.27,39.4,115036.86,4,2,8,15,simulated_telecom_marketing,2026-05-31
A009,W1-西南-SMS-维系-09,W1,西南,SMS,维系,校园用户,活跃期,20846,722,21364.34,10423.0,1563.45,54,3.78,中,1.7824,0.0346,0.0026,16.6,29.59,9377.89,5,1,4,9,simulated_telecom_marketing,2026-05-31
A010,W1-西南-Outbound Call-拉新-10,W1,西南,Outbound Call,拉新,校园用户,风险期,8528,477,15638.2,29848.0,8954.4,199,2.77,高,0.403,0.0559,0.0233,81.35,32.78,-23164.2,5,3,1,9,simulated_telecom_marketing,2026-05-31
A011,W2-西南-App Push-体验试用-11,W2,西南,App Push,体验试用,自驾车主,成长期,31192,1097,28272.58,24953.6,3743.04,127,3.18,高,0.9852,0.0352,0.0041,26.16,25.77,-424.06,5,2,14,15,simulated_telecom_marketing,2026-05-31
A012,W2-西南-App Push-老带新-12,W2,西南,App Push,老带新,商务人士,新客,10319,647,16912.66,8255.2,1238.28,37,3.54,中,1.7815,0.0627,0.0036,14.67,26.14,7419.18,5,2,11,8,simulated_telecom_marketing,2026-05-31
A013,W1-华北-Outbound Call-加购-13,W1,华北,Outbound Call,加购,大学生,流失风险,6587,184,4927.9,23054.5,6916.35,117,2.9,高,0.1644,0.0279,0.0178,162.89,26.78,-25042.95,1,3,3,1,simulated_telecom_marketing,2026-05-31
A014,W3-西南-App Push-用户投诉安抚策略-14,W3,西南,App Push,用户投诉安抚策略,银发女性,沉默期,13066,1821,84060.45,10452.8,1567.92,43,3.4,中,6.993,0.1394,0.0033,6.6,46.16,72039.73,5,2,8,17,simulated_telecom_marketing,2026-05-31
A015,W2-华东-SMS-拉新-15,W2,华东,SMS,拉新,蓝领工人,流失风险,9997,441,15740.82,4998.5,749.77,25,3.95,低,2.7384,0.0441,0.0025,13.03,35.69,9992.55,2,1,1,18,simulated_telecom_marketing,2026-05-31
A016,W2-西北-App Push-维系-16,W2,西北,App Push,维系,游戏玩家,成长期,20783,627,18732.81,16626.4,2493.96,87,4.4,低,0.9797,0.0302,0.0042,30.49,29.88,-387.55,6,2,4,6,simulated_telecom_marketing,2026-05-31
A017,W2-西北-WeCom-老带新-17,W2,西北,WeCom,老带新,价格敏感型,沉默期,8389,539,15704.06,5033.4,604.01,20,4.32,低,2.7857,0.0643,0.0024,10.46,29.14,10066.65,6,4,11,7,simulated_telecom_marketing,2026-05-31
A018,W3-华中-App Push-拉新-18,W3,华中,App Push,拉新,新晋白领,成长期,39092,1913,59246.2,31273.6,4691.04,130,3.67,中,1.6473,0.0489,0.0033,18.8,30.97,23281.56,4,2,1,4,simulated_telecom_marketing,2026-05-31
A019,W3-华中-App Push-用户投诉安抚策略-19,W3,华中,App Push,用户投诉安抚策略,小微企业主,成熟期,31061,4444,180551.13,24848.8,3727.32,120,4.17,低,6.3183,0.1431,0.0039,6.43,40.63,151975.01,4,2,8,12,simulated_telecom_marketing,2026-05-31
A020,W2-华南-App Push-积分兑换-20,W2,华南,App Push,积分兑换,视频会员,沉默期,18483,738,24221.81,14786.4,2217.96,76,3.33,中,1.4244,0.0399,0.0041,23.04,32.82,7217.45,3,2,10,14,simulated_telecom_marketing,2026-05-31
A021,W3-华东-WeCom-定向促活-21,W3,华东,WeCom,定向促活,退休教师,沉默期,21265,897,30518.11,12759.0,1531.08,65,4.21,低,2.1356,0.0422,0.0031,15.93,34.02,16228.03,2,4,15,11,simulated_telecom_marketing,2026-05-31
A022,W3-西南-App Push-权益升级-22,W3,西南,App Push,权益升级,异地务工,新客,37691,1152,30251.28,30152.8,4522.92,145,3.99,低,0.8724,0.0306,0.0038,30.1,26.26,-4424.44,5,2,12,10,simulated_telecom_marketing,2026-05-31
A023,W2-华中-Outbound Call-用户投诉安抚策略-23,W2,华中,Outbound Call,用户投诉安抚策略,自驾车主,流失风险,31893,3398,148376.15,111625.5,33487.65,659,3.87,高,1.0225,0.1065,0.0207,42.71,43.67,3263.0,4,3,8,15,simulated_telecom_marketing,2026-05-31
A024,W2-华北-SMS-体验试用-24,W2,华北,SMS,体验试用,价格敏感型,成长期,32509,994,33342.51,16254.5,2438.17,104,3.22,中,1.7837,0.0306,0.0032,18.81,33.54,14649.84,1,1,14,7,simulated_telecom_marketing,2026-05-31
A025,W1-华东-WeCom-用户投诉安抚策略-25,W1,华东,WeCom,用户投诉安抚策略,小微企业主,风险期,6657,814,35828.89,3994.2,479.3,21,3.82,低,8.0091,0.1223,0.0032,5.5,44.02,31355.39,2,4,8,12,simulated_telecom_marketing,2026-05-31
